Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7gvqkeUEK3jn7yy1y8PpMd,"We Gone Win","Derek Jeter","Comethazine",2020-10-07,149000,0,true,,2021-01-30T12:01:30Z,"","Alamo Records",0.77,0.629,5,-8.491,1,0.355,0.18,0,0.0906,0.44,86.946,4
spotify:track:6YbhspuOar1D9WSSnfe7ds,"Young, Wild & Free (feat. Bruno Mars)","Mac and Devin Go to High School (Music from and Inspired by the Movie)","Snoop Dogg;Wiz Khalifa;Bruno Mars",2011-12-12,207346,74,false,,2021-01-02T14:12:42Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Rostrum/Atlantic",0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,91,false,,2020-12-30T11:10:38Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:2E79dyG3vXolWuWiEXqNMX,"Coffin","Coffin","Lil Yachty",2020-10-23,89535,50,true,,2020-12-28T17:24:26Z,"","Quality Control Music/Motown Records",0.924,0.547,6,-4.98,0,0.271,0.0233,0.00000167,0.0998,0.606,138.066,4
spotify:track:1JDhNQ0oOT7XpclZn3aQ8F,"West Coast Shit (feat. Tyga & Quavo)","Shoot For The Stars Aim For The Moon","Pop Smoke;Tyga;Quavo",2020-07-03,192000,12,true,,2020-12-24T13:10:47Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.831,0.762,11,-5.656,0,0.207,0.0885,0,0.107,0.495,99.999,4
spotify:track:5nCL0ULKVpkeJdQJ4UYVAI,"Diana (feat. King Combs)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke;King Combs",2020-07-20,188976,4,true,,2020-12-24T13:10:35Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.794,0.792,7,-6.889,1,0.186,0.22,0,0.0998,0.546,126.994,4
spotify:track:2UYGC1AQpguCOBJRQUOeeU,"Got It On Me","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke",2020-07-20,164579,11,true,,2020-12-24T13:10:35Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.688,0.647,2,-7.258,1,0.19,0.00815,0.0000165,0.095,0.195,88.834,4
spotify:track:6IParsannfwoLCcNSfxQPh,"For The Night (feat. Lil Baby & DaBaby)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke;Lil Baby;DaBaby",2020-07-20,190476,9,true,,2020-12-24T13:10:31Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,4
spotify:track:3DWjFSDEQ9IWz1mj449fB7,"Get Back","Meet The Woo 2","Pop Smoke",2020-02-07,108160,27,true,,2020-12-24T13:10:28Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.799,0.649,9,-6.546,1,0.306,0.0746,0.0000133,0.517,0.566,142.004,4
spotify:track:57BGVV6wcyhbn3hsjlqEZB,"Element","Meet The Woo 2","Pop Smoke",2020-02-07,135746,31,true,,2020-12-24T13:10:27Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.772,0.879,2,-4.22,1,0.323,0.0307,0.00000188,0.25,0.304,61.311,5
